q_id,web_list
1,"[1567, 16, 1607, 1704, 1705]"
2,"[1615, 1607, 98, 1904, 1192]"
3,"[116, 110, 1705, 1704, 1192]"
4,"[1632, 993, 1061, 223, 282]"
5,"[1639, 165, 470, 620, 926]"
6,"[1495, 1887, 1831, 866, 1871]"
7,"[1906, 1901, 102, 165, 1604]"
8,"[403, 480, 862, 1723, 111]"
9,"[165, 98, 1608, 164, 89]"
10,"[455, 1192, 1197, 1772, 16]"
11,"[890, 1192, 413, 662, 81]"
12,"[1192, 1611, 114, 455, 1523]"
13,"[890, 1890, 60, 165, 1887]"
14,"[1567, 1192, 1613, 438, 102]"
15,"[1904, 403, 1705, 1704, 1317]"
16,"[165, 1202, 410, 1617, 1676]"
17,"[444, 1666, 432, 1607, 672]"
18,"[1676, 403, 444, 1249, 165]"
19,"[1676, 1079, 1077, 125, 405]"
20,"[1196, 926, 165, 1202, 410]"
21,"[455, 116, 114, 1610, 454]"
22,"[587, 590, 593, 597, 599]"
23,"[511, 1830, 1871, 1834, 403]"
24,"[749, 1670, 866, 1313, 121]"
25,"[1695, 1192, 124, 1640, 605]"
26,"[1696, 1248, 1698, 116, 1704]"
27,"[113, 29, 164, 1246, 1006]"
28,"[93, 95, 1844, 1845, 1847]"
29,"[1677, 1534, 1567, 1885, 1894]"
30,"[1884, 1887, 1526, 1192, 1604]"
31,"[1677, 1202, 410, 165, 1196]"
32,"[116, 408, 1676, 114, 125]"
33,"[455, 1197, 16, 1192, 1897]"
34,"[1704, 1705, 1607, 901, 403]"
35,"[1666, 98, 409, 1202, 410]"
36,"[1063, 1659, 230, 248, 442]"
37,"[1723, 403, 111, 1428, 73]"
38,"[1607, 1277, 1608, 1659, 98]"
39,"[1890, 1887, 497, 1401, 1249]"
40,"[395, 1639, 1073, 1904, 1613]"
41,"[1752, 73, 403, 111, 480]"
42,"[1192, 1904, 78, 1523, 1562]"
43,"[511, 1830, 1835, 1871, 1834]"
44,"[403, 1197, 749, 1320, 1249]"
45,"[1063, 423, 1244, 1184, 739]"
46,"[1034, 403, 1620, 1202, 866]"
47,"[1527, 890, 1899, 1526, 112]"
48,"[1899, 1904, 1910, 1192, 1884]"
49,"[862, 1705, 1704, 1758, 1762]"
50,"[432, 403, 480, 1723, 121]"
51,"[511, 1705, 1704, 1871, 403]"
52,"[1902, 1560, 1552, 1915, 1639]"
53,"[1567, 16, 1607, 1704, 1705]"
54,"[1924, 1677, 165, 922, 124]"
55,"[511, 1705, 1704, 1871, 403]"
56,"[1904, 890, 43, 1896, 335]"
57,"[1666, 848, 1885, 1272, 1277]"
58,"[1249, 480, 808, 866, 432]"
59,"[1192, 18, 89, 1676, 1161]"
60,"[692, 116, 1270, 455, 438]"
61,"[1567, 403, 808, 1249, 672]"
62,"[1457, 1832, 1830, 1834, 1871]"
63,"[890, 922, 1592, 97, 98]"
64,"[1567, 1562, 1532, 1489, 1554]"
65,"[1567, 16, 259, 403, 1006]"
66,"[408, 1676, 1675, 1249, 60]"
67,"[383, 1733, 163, 1740, 1695]"
68,"[171, 165, 1901, 314, 98]"
69,"[1915, 403, 1197, 165, 1825]"
70,"[1896, 1277, 1608, 98, 16]"
71,"[89, 1890, 1885, 1887, 1892]"
72,"[403, 749, 1320, 1626, 1904]"
73,"[1855, 236, 1003, 237, 1002]"
74,"[113, 1907, 112, 866, 890]"
75,"[922, 1526, 1899, 926, 1887]"
76,"[1915, 165, 1620, 102, 1612]"
77,"[408, 1676, 1675, 1696, 165]"
78,"[1884, 102, 1746, 409, 98]"
79,"[866, 403, 121, 511, 282]"
80,"[808, 1906, 454, 1302, 1066]"
81,"[1705, 692, 1273, 44, 1147]"
82,"[1249, 823, 1575, 403, 1197]"
83,"[1676, 1202, 410, 165, 403]"
84,"[1249, 468, 1196, 1675, 1611]"
85,"[265, 1077, 1118, 1257, 1034]"
86,"[1192, 1772, 413, 110, 81]"
87,"[1742, 121, 97, 96, 1320]"
88,"[1567, 1608, 1896, 1607, 1192]"
89,"[468, 111, 1196, 1566, 73]"
90,"[1675, 1299, 1676, 1250, 1295]"
91,"[1534, 772, 667, 1202, 410]"
92,"[114, 16, 116, 1192, 1604]"
93,"[809, 648, 480, 1542, 1534]"
94,"[16, 1904, 1112, 1924, 447]"
95,"[1676, 116, 890, 112, 113]"
96,"[1290, 365, 1317, 501, 800]"
97,"[403, 175, 176, 924, 1670]"
98,"[1193, 124, 1676, 1640, 165]"
99,"[1717, 892, 1317, 73, 1705]"
100,"[1567, 922, 409, 165, 1746]"
101,"[1279, 1676, 1344, 431, 1675]"
102,"[403, 1317, 1704, 1705, 480]"
103,"[1197, 1249, 1202, 420, 167]"
104,"[1567, 455, 1884, 1192, 114]"
105,"[1772, 126, 110, 1640, 1639]"
106,"[1676, 322, 365, 125, 1014]"
107,"[1648, 1002, 232, 236, 1003]"
108,"[226, 244, 828, 468, 903]"
109,"[403, 1249, 444, 1898, 1575]"
110,"[444, 1750, 1607, 165, 1885]"
111,"[1915, 403, 1344, 1077, 1566]"
112,"[165, 1193, 789, 933, 1885]"
113,"[73, 1246, 82, 1317, 111]"
114,"[1675, 672, 101, 1915, 1750]"
115,"[1772, 501, 1723, 1566, 480]"
116,"[165, 410, 1202, 1620, 922]"
117,"[1070, 289, 1527, 1091, 695]"
118,"[403, 1723, 480, 511, 1705]"
119,"[1639, 1695, 60, 124, 1202]"
120,"[16, 441, 1772, 903, 442]"
121,"[1202, 410, 165, 405, 164]"
122,"[1827, 1834, 1871, 1764, 1772]"
123,"[1192, 1913, 1887, 1611, 1904]"
124,"[73, 282, 468, 403, 866]"
125,"[1249, 480, 468, 660, 1063]"
126,"[102, 1746, 1249, 458, 1611]"
127,"[1676, 89, 1677, 926, 1675]"
128,"[114, 16, 884, 454, 1112]"
129,"[1666, 848, 1885, 1272, 1277]"
130,"[403, 1073, 1197, 749, 409]"
131,"[1246, 471, 1744, 454, 62]"
132,"[1705, 1885, 1704, 1887, 1892]"
133,"[1924, 1705, 1704, 1521, 1884]"
134,"[1907, 432, 1249, 922, 165]"
135,"[511, 403, 1704, 1705, 1723]"
136,"[73, 1717, 1317, 1006, 82]"
137,"[1607, 468, 111, 73, 37]"
138,"[1567, 1885, 1607, 1191, 1887]"
139,"[1666, 1607, 1193, 102, 1746]"
140,"[89, 1290, 688, 1592, 1901]"
