q_id,web_list
1,"[1567, 135, 16, 1607, 901]"
2,"[372, 368, 862, 1607, 1615]"
3,"[116, 110, 691, 1192, 1705]"
4,"[1043, 1051, 282, 1013, 1009]"
5,"[926, 1620, 1659, 1903, 1924]"
6,"[1495, 108, 138, 1887, 1831]"
7,"[1906, 1528, 1901, 1592, 1526]"
8,"[282, 480, 403, 1723, 111]"
9,"[1896, 1608, 1620, 1894, 1607]"
10,"[116, 1246, 1197, 1192, 1772]"
11,"[114, 1599, 1192, 102, 1202]"
12,"[1192, 114, 1712, 1611, 1523]"
13,"[1915, 1886, 1890, 919, 1887]"
14,"[372, 1567, 926, 762, 901]"
15,"[1904, 403, 1317, 1878, 1707]"
16,"[1915, 1193, 1617, 408, 926]"
17,"[372, 368, 1607, 745, 1894]"
18,"[1607, 1903, 1249, 1904, 403]"
19,"[1082, 1073, 1900, 926, 1279]"
20,"[1915, 926, 1249, 1060, 1906]"
21,"[1915, 114, 1610, 1192, 464]"
22,"[1748, 1766, 868, 587, 349]"
23,"[73, 511, 1704, 403, 1705]"
24,"[749, 1670, 73, 1541, 403]"
25,"[1915, 1641, 114, 1192, 1897]"
26,"[372, 368, 455, 1248, 862]"
27,"[26, 1615, 1246, 1006, 1586]"
28,"[1072, 922, 95, 857, 1887]"
29,"[1915, 1193, 216, 89, 1534]"
30,"[1884, 1924, 1043, 1887, 1604]"
31,"[1915, 1733, 149, 1911, 926]"
32,"[116, 1915, 1561, 408, 114]"
33,"[1915, 1246, 1197, 1922, 1897]"
34,"[16, 1607, 901, 898, 1499]"
35,"[1607, 1704, 455, 1617, 1628]"
36,"[1063, 442, 1705, 1704, 504]"
37,"[1725, 608, 1723, 403, 111]"
38,"[1607, 1608, 432, 1615, 1659]"
39,"[478, 1924, 1704, 922, 1705]"
40,"[1915, 1071, 437, 1193, 1564]"
41,"[73, 1524, 403, 1525, 1752]"
42,"[372, 1192, 1191, 1904, 1193]"
43,"[511, 501, 1872, 1835, 1832]"
44,"[1299, 1197, 403, 749, 1320]"
45,"[1063, 739, 1613, 1182, 423]"
46,"[1620, 1037, 1615, 1049, 403]"
47,"[1627, 1905, 1907, 113, 1899]"
48,"[1896, 455, 1588, 1922, 1897]"
49,"[1919, 543, 16, 1590, 1249]"
50,"[73, 432, 162, 403, 480]"
51,"[511, 1809, 1835, 1872, 1873]"
52,"[1915, 1900, 1543, 1902, 408]"
53,"[1567, 135, 16, 1607, 901]"
54,"[1924, 28, 1592, 926, 1249]"
55,"[511, 1809, 1835, 1872, 1873]"
56,"[1904, 1922, 1897, 43, 1896]"
57,"[455, 1607, 1628, 1704, 1666]"
58,"[1697, 1249, 480, 432, 403]"
59,"[1068, 114, 1192, 18, 89]"
60,"[1178, 1191, 1600, 1904, 1192]"
61,"[1157, 432, 1567, 511, 1704]"
62,"[1924, 1457, 1832, 898, 1836]"
63,"[1071, 868, 692, 1915, 1748]"
64,"[1567, 1891, 1562, 1532, 1489]"
65,"[1567, 16, 1592, 403, 257]"
66,"[1924, 1902, 1299, 408, 1832]"
67,"[1733, 1905, 1705, 1604, 1906]"
68,"[1915, 97, 96, 1550, 1547]"
69,"[1915, 403, 1302, 1580, 1825]"
70,"[1896, 1607, 1608, 1157, 691]"
71,"[1534, 89, 1586, 1890, 1892]"
72,"[1904, 403, 749, 1626, 1700]"
73,"[1855, 232, 236, 1003, 237]"
74,"[1612, 113, 1915, 1193, 1906]"
75,"[1588, 1899, 926, 1526, 1592]"
76,"[1915, 1598, 1193, 1620, 926]"
77,"[1915, 1917, 408, 1902, 1666]"
78,"[1884, 1924, 1617, 478, 102]"
79,"[37, 1914, 403, 823, 1762]"
80,"[1906, 903, 1307, 1302, 114]"
81,"[1273, 1581, 44, 1926, 1608]"
82,"[1915, 1249, 823, 1832, 1575]"
83,"[1915, 368, 408, 862, 442]"
84,"[368, 372, 216, 1915, 862]"
85,"[1079, 1077, 1043, 403, 1670]"
86,"[1192, 1615, 1586, 1772, 338]"
87,"[1742, 1320, 884, 650, 749]"
88,"[1896, 1607, 1192, 1567, 1705]"
89,"[1570, 1557, 1900, 468, 111]"
90,"[1251, 430, 1261, 1298, 1676]"
91,"[1713, 1543, 1533, 667, 1534]"
92,"[114, 16, 1192, 1604, 1567]"
93,"[903, 677, 480, 648, 1542]"
94,"[16, 1924, 116, 1904, 860]"
95,"[1915, 114, 890, 113, 112]"
96,"[478, 811, 1763, 1317, 501]"
97,"[1863, 403, 1670, 72, 749]"
98,"[887, 1014, 408, 219, 1193]"
99,"[1717, 1246, 1878, 1707, 758]"
100,"[1906, 1615, 1567, 1538, 321]"
101,"[1902, 283, 1279, 1104, 1928]"
102,"[1705, 1316, 1607, 1904, 403]"
103,"[1197, 1670, 1620, 930, 749]"
104,"[1617, 926, 1884, 1567, 455]"
105,"[1772, 110, 599, 1904, 595]"
106,"[408, 1014, 1915, 125, 1008]"
107,"[1002, 232, 236, 1003, 240]"
108,"[1772, 903, 828, 1704, 468]"
109,"[1638, 116, 1694, 1677, 1619]"
110,"[1607, 1659, 511, 74, 1299]"
111,"[1915, 624, 403, 1080, 1197]"
112,"[1193, 933, 1666, 1705, 1885]"
113,"[73, 1246, 1878, 1707, 82]"
114,"[1900, 1915, 101, 1917, 1074]"
115,"[443, 1495, 478, 1030, 289]"
116,"[1193, 1620, 1894, 408, 1029]"
117,"[1671, 1745, 1616, 1907, 1116]"
118,"[765, 403, 480, 1723, 1873]"
119,"[1915, 1924, 478, 1536, 1704]"
120,"[1772, 828, 1646, 16, 903]"
121,"[455, 421, 1607, 1617, 1628]"
122,"[1772, 1490, 749, 1811, 1815]"
123,"[1192, 1604, 735, 1670, 938]"
124,"[468, 1570, 73, 111, 135]"
125,"[372, 58, 57, 54, 1249]"
126,"[216, 1746, 1249, 1433, 1611]"
127,"[1915, 1617, 1025, 919, 1618]"
128,"[114, 1567, 884, 16, 1307]"
129,"[455, 1607, 1704, 1628, 1255]"
130,"[1762, 292, 1758, 1617, 1761]"
131,"[1246, 471, 1744, 684, 685]"
132,"[1907, 1885, 1887, 1892, 901]"
133,"[1924, 478, 1884, 1192, 1521]"
134,"[1924, 1906, 1249, 432, 1598]"
135,"[511, 1704, 1511, 1705, 403]"
136,"[1878, 1707, 45, 73, 1717]"
137,"[1607, 1191, 1615, 468, 111]"
138,"[1567, 1607, 1885, 1618, 1705]"
139,"[1607, 165, 1666, 1659, 1193]"
140,"[930, 1901, 1592, 1536, 1591]"
141,"[1666, 1299, 1904, 1885, 1607]"
