q_id,web_list
1,"[135, 372, 1567, 1705, 1704]"
2,"[372, 368, 1609, 164, 1025]"
3,"[116, 1147, 1067, 1761, 1760]"
4,"[1051, 1043, 1762, 1758, 1704]"
5,"[1907, 165, 171, 125, 921]"
6,"[878, 108, 688, 920, 1495]"
7,"[125, 1935, 1705, 1704, 1906]"
8,"[1157, 282, 1705, 1704, 862]"
9,"[921, 165, 164, 89, 97]"
10,"[438, 1636, 1172, 1884, 116]"
11,"[409, 1599, 1112, 96, 97]"
12,"[1192, 114, 1655, 454, 292]"
13,"[890, 112, 1915, 116, 113]"
14,"[761, 372, 1157, 368, 409]"
15,"[1705, 1704, 1363, 1904, 1316]"
16,"[1676, 1129, 918, 1915, 98]"
17,"[372, 1157, 455, 692, 705]"
18,"[1607, 124, 1704, 1705, 60]"
19,"[1915, 125, 360, 1277, 1900]"
20,"[1915, 1676, 1043, 79, 164]"
21,"[116, 98, 163, 164, 455]"
22,"[1066, 1560, 1762, 1748, 1758]"
23,"[73, 1705, 1704, 511, 1809]"
24,"[98, 793, 409, 96, 97]"
25,"[116, 1750, 125, 1915, 60]"
26,"[1157, 164, 1042, 368, 455]"
27,"[1615, 1011, 1586, 346, 1088]"
28,"[97, 98, 96, 1837, 1828]"
29,"[171, 89, 1618, 116, 455]"
30,"[438, 1636, 1043, 1774, 819]"
31,"[1915, 98, 149, 409, 1618]"
32,"[116, 1915, 1761, 101, 1760]"
33,"[1915, 438, 1636, 1112, 388]"
34,"[1705, 1704, 1677, 1567, 1157]"
35,"[455, 165, 1750, 98, 1299]"
36,"[1704, 1705, 211, 143, 1649]"
37,"[1725, 608, 1704, 1705, 848]"
38,"[1607, 768, 1299, 1157, 1186]"
39,"[163, 1924, 478, 159, 1025]"
40,"[692, 98, 96, 97, 1639]"
41,"[1752, 1524, 1041, 1525, 1559]"
42,"[372, 363, 368, 1196, 198]"
43,"[1789, 1790, 1791, 1792, 1753]"
44,"[1299, 1676, 1298, 1256, 1253]"
45,"[1018, 1244, 423, 1063, 692]"
46,"[1030, 159, 1025, 937, 1042]"
47,"[1907, 113, 1627, 409, 1905]"
48,"[1896, 1910, 1064, 1705, 1704]"
49,"[333, 1147, 1178, 1030, 1066]"
50,"[73, 162, 165, 925, 164]"
51,"[1705, 1704, 511, 1809, 1835]"
52,"[1900, 1915, 1917, 925, 98]"
53,"[372, 135, 1567, 1705, 1704]"
54,"[664, 1924, 116, 1699, 1795]"
55,"[1705, 1704, 511, 73, 1809]"
56,"[1044, 60, 1627, 1905, 163]"
57,"[455, 171, 165, 164, 1607]"
58,"[1696, 920, 1697, 1030, 7]"
59,"[455, 1161, 1676, 113, 29]"
60,"[1910, 1040, 371, 1132, 1600]"
61,"[1157, 432, 1704, 1705, 1567]"
62,"[1924, 1704, 1705, 1025, 937]"
63,"[1071, 868, 1748, 1655, 1197]"
64,"[1527, 1891, 1927, 1567, 1103]"
65,"[259, 1704, 1705, 1567, 998]"
66,"[1924, 922, 1915, 116, 125]"
67,"[1032, 1184, 385, 1705, 1704]"
68,"[866, 1073, 867, 171, 666]"
69,"[1915, 1580, 510, 1486, 1202]"
70,"[1157, 1896, 97, 96, 257]"
71,"[89, 165, 1043, 1675, 1676]"
72,"[1904, 1120, 1232, 1700, 96]"
73,"[376, 688, 118, 1855, 437]"
74,"[1704, 1705, 1915, 1907, 530]"
75,"[1915, 89, 1899, 1526, 890]"
76,"[1915, 1704, 1705, 1620, 89]"
77,"[1917, 999, 1915, 355, 408]"
78,"[1746, 102, 98, 97, 409]"
79,"[1029, 352, 1758, 1762, 823]"
