q_id,web_list
1,"[1157, 1567, 372, 1880, 114]"
2,"[1157, 368, 372, 1045, 862]"
3,"[1752, 857, 1175, 1704, 1761]"
4,"[1915, 1043, 1154, 1704, 1705]"
5,"[921, 1029, 937, 159, 175]"
6,"[1915, 108, 212, 141, 349]"
7,"[1178, 1637, 1906, 1705, 1704]"
8,"[1157, 1065, 368, 282, 1704]"
9,"[175, 1586, 921, 165, 937]"
10,"[116, 1915, 1884, 786, 935]"
11,"[1915, 89, 455, 1202, 410]"
12,"[1192, 114, 1611, 455, 1704]"
13,"[164, 455, 1915, 937, 159]"
14,"[1157, 372, 368, 753, 752]"
15,"[1316, 1704, 1904, 18, 1441]"
16,"[395, 1915, 1129, 141, 1269]"
17,"[372, 368, 1157, 455, 377]"
18,"[1607, 1273, 362, 1791, 1316]"
19,"[1915, 1900, 1767, 1543, 360]"
20,"[1488, 1915, 1043, 97, 1676]"
21,"[1915, 116, 1884, 1924, 1792]"
22,"[1752, 1704, 857, 1766, 362]"
23,"[1705, 1704, 1157, 162, 165]"
24,"[925, 1891, 1118, 102, 1746]"
25,"[1915, 116, 868, 455, 114]"
26,"[377, 1157, 368, 372, 862]"
27,"[925, 1118, 97, 96, 1538]"
28,"[1915, 677, 1775, 1900, 1760]"
29,"[1915, 1030, 1618, 89, 455]"
30,"[1043, 1884, 1705, 1704, 819]"
31,"[1915, 150, 409, 1618, 113]"
32,"[116, 1915, 1704, 1900, 1705]"
33,"[1915, 1884, 1640, 388, 1924]"
34,"[1157, 1705, 1677, 1704, 92]"
35,"[1157, 368, 372, 455, 705]"
36,"[1012, 1704, 1705, 526, 1649]"
37,"[1725, 608, 848, 757, 1705]"
38,"[1607, 372, 368, 1157, 1277]"
39,"[1705, 478, 1924, 1704, 1915]"
40,"[1915, 1934, 692, 919, 372]"
41,"[1118, 1752, 453, 420, 1524]"
42,"[372, 368, 1157, 717, 1570]"
43,"[481, 1791, 1789, 1790, 1792]"
44,"[1915, 1704, 430, 371, 1260]"
45,"[1063, 149, 383, 273, 1163]"
46,"[1620, 1915, 1030, 1520, 163]"
47,"[1627, 1905, 1907, 1587, 1745]"
48,"[1704, 1705, 455, 900, 1752]"
49,"[1705, 333, 1919, 1032, 1027]"
50,"[1157, 1158, 1705, 165, 162]"
51,"[705, 1704, 1705, 372, 362]"
52,"[1915, 1900, 1917, 1543, 868]"
53,"[135, 1567, 1157, 1880, 114]"
54,"[692, 1853, 1924, 98, 96]"
55,"[705, 1704, 1705, 362, 372]"
56,"[1521, 1627, 1905, 921, 163]"
57,"[1157, 368, 372, 455, 1704]"
58,"[372, 1704, 692, 1697, 773]"
59,"[1068, 1915, 361, 89, 455]"
60,"[1178, 1040, 1132, 688, 360]"
61,"[1157, 1704, 1705, 1567, 1080]"
62,"[1924, 1915, 478, 1900, 1704]"
