q_id,web_list
1,"[1769, 1567, 1795, 16, 1705]"
2,"[1042, 372, 97, 96, 89]"
3,"[116, 1704, 1536, 1147, 310]"
4,"[1051, 1061, 223, 408, 350]"
5,"[1907, 926, 1202, 410, 1746]"
6,"[878, 676, 347, 1752, 925]"
7,"[1916, 615, 1906, 1603, 1936]"
8,"[221, 1704, 1705, 480, 403]"
9,"[1025, 937, 159, 921, 89]"
10,"[455, 1761, 438, 1636, 619]"
11,"[441, 1192, 1758, 447, 1273]"
12,"[1192, 114, 106, 292, 455]"
13,"[890, 112, 1914, 60, 89]"
14,"[102, 1720, 1724, 692, 1185]"
15,"[1704, 1705, 1795, 961, 154]"
16,"[165, 1676, 1202, 410, 920]"
17,"[1724, 455, 692, 1272, 1255]"
18,"[603, 89, 1875, 1659, 165]"
19,"[1662, 1202, 410, 435, 926]"
20,"[165, 1025, 937, 159, 1196]"
21,"[455, 1924, 60, 1610, 114]"
22,"[1762, 1187, 371, 1758, 587]"
23,"[1705, 1704, 170, 1872, 911]"
24,"[1025, 159, 628, 73, 102]"
25,"[1750, 165, 1921, 1192, 60]"
26,"[108, 920, 116, 1697, 845]"
27,"[946, 435, 961, 314, 1727]"
28,"[1795, 1833, 1837, 1828, 890]"
29,"[89, 1618, 1677, 1619, 98]"
30,"[1774, 1064, 455, 106, 1192]"
31,"[1746, 165, 1202, 410, 984]"
32,"[116, 1536, 408, 125, 1619]"
33,"[455, 619, 1636, 438, 1704]"
34,"[897, 1704, 1769, 1907, 1677]"
35,"[455, 1299, 1750, 98, 97]"
36,"[442, 1544, 1068, 1063, 1705]"
37,"[1705, 1704, 1795, 154, 911]"
38,"[1607, 1299, 98, 1659, 97]"
39,"[164, 175, 163, 921, 919]"
40,"[97, 96, 112, 98, 1746]"
41,"[1752, 1705, 73, 1918, 979]"
42,"[374, 372, 1627, 1638, 1899]"
43,"[1865, 1764, 1832, 511, 1791]"
44,"[371, 1704, 403, 1705, 985]"
45,"[1068, 1063, 28, 320, 1647]"
46,"[424, 1025, 937, 159, 959]"
47,"[1905, 1627, 1527, 1907, 1526]"
48,"[292, 1070, 1899, 1627, 455]"
49,"[1178, 1169, 1916, 1045, 1030]"
50,"[1705, 1704, 170, 480, 1872]"
51,"[1704, 1705, 1795, 1872, 1835]"
52,"[1900, 292, 1902, 408, 1344]"
53,"[1769, 1567, 1795, 16, 1705]"
54,"[1924, 341, 60, 1677, 1272]"
55,"[1704, 1795, 1835, 1872, 1705]"
56,"[1155, 1896, 1870, 1627, 1758]"
57,"[1724, 108, 455, 1025, 937]"
